"","startTime","duration","app","endTime","date","category"
"172",2022-12-21 23:53:44,0,"explorer",2022-12-21 23:53:44,2022-12-21,"inne"
"173",2022-12-21 23:53:43,0,"SearchApp",2022-12-21 23:53:43,2022-12-21,"inne"
"174",2022-12-21 23:53:42,0,"chrome",2022-12-21 23:53:42,2022-12-21,"studia"
"175",2022-12-21 23:53:35,5.295,"Messenger",2022-12-21 23:53:40,2022-12-21,"wolne"
"176",2022-12-21 23:52:30,64.329,"League of Legends",2022-12-21 23:53:34,2022-12-21,"inne"
"177",2022-12-21 23:52:26,2.109,"Messenger",2022-12-21 23:52:28,2022-12-21,"wolne"
"178",2022-12-21 23:50:04,141.515,"League of Legends",2022-12-21 23:52:25,2022-12-21,"inne"
"179",2022-12-21 23:50:01,2.096,"Messenger",2022-12-21 23:50:03,2022-12-21,"wolne"
"180",2022-12-21 23:47:51,128.883,"League of Legends",2022-12-21 23:49:59,2022-12-21,"inne"
"181",2022-12-21 23:47:23,26.674,"Messenger",2022-12-21 23:47:49,2022-12-21,"wolne"
"182",2022-12-21 23:46:33,49.311,"LeagueClientUx",2022-12-21 23:47:22,2022-12-21,"inne"
"183",2022-12-21 23:46:19,11.998,"Messenger",2022-12-21 23:46:30,2022-12-21,"wolne"
"184",2022-12-21 23:46:17,1.073,"LeagueClientUx",2022-12-21 23:46:18,2022-12-21,"inne"
"185",2022-12-21 23:46:15,1.054,"Messenger",2022-12-21 23:46:16,2022-12-21,"wolne"
"186",2022-12-21 23:46:08,5.559,"chrome",2022-12-21 23:46:13,2022-12-21,"studia"
"187",2022-12-21 23:46:06,1.077,"LeagueClientUx",2022-12-21 23:46:07,2022-12-21,"inne"
"188",2022-12-21 23:45:46,18.463,"chrome",2022-12-21 23:46:04,2022-12-21,"studia"
"189",2022-12-21 23:45:31,14.007,"Messenger",2022-12-21 23:45:45,2022-12-21,"wolne"
"190",2022-12-21 23:45:30,0,"chrome",2022-12-21 23:45:30,2022-12-21,"studia"
"191",2022-12-21 23:45:22,7.438,"LeagueClientUx",2022-12-21 23:45:29,2022-12-21,"inne"
"192",2022-12-21 23:45:15,5.585,"chrome",2022-12-21 23:45:20,2022-12-21,"studia"
"193",2022-12-21 23:45:14,0,"LeagueClientUx",2022-12-21 23:45:14,2022-12-21,"inne"
"194",2022-12-21 23:45:07,6.373,"chrome",2022-12-21 23:45:13,2022-12-21,"studia"
"195",2022-12-21 23:45:05,0,"LeagueClientUx",2022-12-21 23:45:05,2022-12-21,"inne"
"196",2022-12-21 23:45:04,0,"Messenger",2022-12-21 23:45:04,2022-12-21,"wolne"
"197",2022-12-21 23:44:45,18.098,"LeagueClientUx",2022-12-21 23:45:03,2022-12-21,"inne"
"198",2022-12-21 23:44:43,1.055,"Messenger",2022-12-21 23:44:44,2022-12-21,"wolne"
"199",2022-12-21 23:44:32,9.593,"LeagueClientUx",2022-12-21 23:44:41,2022-12-21,"inne"
"200",2022-12-21 23:44:26,5.502,"Messenger",2022-12-21 23:44:31,2022-12-21,"wolne"
"201",2022-12-21 23:44:25,0,"LeagueClientUx",2022-12-21 23:44:25,2022-12-21,"inne"
"202",2022-12-21 23:44:06,18.047,"chrome",2022-12-21 23:44:24,2022-12-21,"studia"
"203",2022-12-21 23:44:05,0,"chrome",2022-12-21 23:44:05,2022-12-21,"studia"
"204",2022-12-21 23:44:04,0,"LeagueClientUx",2022-12-21 23:44:04,2022-12-21,"inne"
"205",2022-12-21 23:44:02,0,"Messenger",2022-12-21 23:44:02,2022-12-21,"wolne"
"206",2022-12-21 23:44:01,0,"chrome",2022-12-21 23:44:01,2022-12-21,"studia"
"207",2022-12-21 23:43:59,1.109,"chrome",2022-12-21 23:44:00,2022-12-21,"studia"
"208",2022-12-21 23:43:57,1.047,"LeagueClientUx",2022-12-21 23:43:58,2022-12-21,"inne"
"209",2022-12-21 23:43:53,3.166,"chrome",2022-12-21 23:43:56,2022-12-21,"studia"
"210",2022-12-21 23:43:41,10.537,"LeagueClientUx",2022-12-21 23:43:51,2022-12-21,"inne"
"211",2022-12-21 23:43:40,0,"unknown",2022-12-21 23:43:40,2022-12-21,"inne"
"212",2022-12-21 23:43:39,0,"Spotify",2022-12-21 23:43:39,2022-12-21,"wolne"
"213",2022-12-21 23:43:38,0,"chrome",2022-12-21 23:43:38,2022-12-21,"studia"
"214",2022-12-21 23:43:37,0,"Spotify",2022-12-21 23:43:37,2022-12-21,"wolne"
"215",2022-12-21 23:43:24,11.728,"LeagueClientUx",2022-12-21 23:43:35,2022-12-21,"inne"
"216",2022-12-21 23:43:23,0,"Spotify",2022-12-21 23:43:23,2022-12-21,"wolne"
"217",2022-12-21 23:43:08,14.175,"explorer",2022-12-21 23:43:22,2022-12-21,"inne"
"218",2022-12-21 23:42:57,9.702,"League of Legends",2022-12-21 23:43:06,2022-12-21,"inne"
"219",2022-12-21 23:42:48,7.468,"Messenger",2022-12-21 23:42:55,2022-12-21,"wolne"
"220",2022-12-21 23:40:10,157.577,"League of Legends",2022-12-21 23:42:47,2022-12-21,"inne"
"221",2022-12-21 23:39:55,13.867,"Messenger",2022-12-21 23:40:08,2022-12-21,"wolne"
"222",2022-12-21 23:39:54,0,"Spotify",2022-12-21 23:39:54,2022-12-21,"wolne"
"223",2022-12-21 23:39:49,4.243,"Messenger",2022-12-21 23:39:53,2022-12-21,"wolne"
"224",2022-12-21 23:38:19,88.735,"League of Legends",2022-12-21 23:39:47,2022-12-21,"inne"
"225",2022-12-21 23:38:08,9.577,"Messenger",2022-12-21 23:38:17,2022-12-21,"wolne"
"226",2022-12-21 23:38:04,3.208,"League of Legends",2022-12-21 23:38:07,2022-12-21,"inne"
"227",2022-12-21 23:37:43,20.167,"Messenger",2022-12-21 23:38:03,2022-12-21,"wolne"
"228",2022-12-21 23:34:43,178.976,"League of Legends",2022-12-21 23:37:41,2022-12-21,"inne"
"229",2022-12-21 23:34:41,0,"Spotify",2022-12-21 23:34:41,2022-12-21,"wolne"
"230",2022-12-21 23:33:54,46.502,"League of Legends",2022-12-21 23:34:40,2022-12-21,"inne"
"231",2022-12-21 23:33:48,4.238,"chrome",2022-12-21 23:33:52,2022-12-21,"studia"
"232",2022-12-21 23:33:43,4.556,"chrome",2022-12-21 23:33:47,2022-12-21,"studia"
"233",2022-12-21 23:33:34,7.594,"League of Legends",2022-12-21 23:33:41,2022-12-21,"inne"
"234",2022-12-21 23:33:32,1.079,"chrome",2022-12-21 23:33:33,2022-12-21,"studia"
"235",2022-12-21 23:30:39,172.163,"League of Legends",2022-12-21 23:33:31,2022-12-21,"inne"
"236",2022-12-21 23:30:34,3.153,"chrome",2022-12-21 23:30:37,2022-12-21,"studia"
"237",2022-12-21 23:30:28,5.322,"chrome",2022-12-21 23:30:33,2022-12-21,"studia"
"238",2022-12-21 23:28:33,113.592,"League of Legends",2022-12-21 23:30:26,2022-12-21,"inne"
"239",2022-12-21 23:28:31,1.19,"chrome",2022-12-21 23:28:32,2022-12-21,"studia"
"240",2022-12-21 23:28:18,11.811,"chrome",2022-12-21 23:28:29,2022-12-21,"studia"
"241",2022-12-21 23:28:17,0,"LeagueClientUx",2022-12-21 23:28:17,2022-12-21,"inne"
"242",2022-12-21 23:22:14,361.71,"League of Legends",2022-12-21 23:28:15,2022-12-21,"inne"
"243",2022-12-21 23:22:13,0,"Spotify",2022-12-21 23:22:13,2022-12-21,"wolne"
"244",2022-12-21 23:22:12,0,"Spotify",2022-12-21 23:22:12,2022-12-21,"wolne"
"245",2022-12-21 23:22:00,10.66,"League of Legends",2022-12-21 23:22:10,2022-12-21,"inne"
"246",2022-12-21 23:21:59,0,"Spotify",2022-12-21 23:21:59,2022-12-21,"wolne"
"247",2022-12-21 23:21:56,2.103,"Spotify",2022-12-21 23:21:58,2022-12-21,"wolne"
"248",2022-12-21 23:21:55,0,"Spotify",2022-12-21 23:21:55,2022-12-21,"wolne"
